,test,samp_size,md,wght,acc,recall,pre
0,0.1,50,10,0.0,0.1185726327620118,1.0,0.1185726327620118
1,0.1,50,10,0.05,0.4565889294745715,0.8672985781990521,0.16310160427807488
2,0.1,50,10,0.1,0.7656645125035122,0.7037914691943128,0.2952286282306163
3,0.1,50,10,0.15000000000000002,0.8426524304579939,0.6137440758293838,0.3948170731707317
4,0.1,50,10,0.2,0.8645686990727732,0.5971563981042654,0.44680851063829785
5,0.1,50,10,0.25,0.8676594549030626,0.580568720379147,0.45454545454545453
6,0.1,50,10,0.30000000000000004,0.8727170553526271,0.566350710900474,0.46954813359528486
7,0.1,50,10,0.35000000000000003,0.878898567013206,0.5379146919431279,0.490280777537797
8,0.1,50,10,0.4,0.8828322562517561,0.5165876777251185,0.505800464037123
9,0.1,50,10,0.45,0.8912615903343636,0.4597156398104265,0.5495750708215298
10,0.1,50,10,0.5,0.89098061253161,0.44075829383886256,0.5502958579881657
11,0.1,50,35,0.0,0.1185726327620118,1.0,0.1185726327620118
12,0.1,50,35,0.05,0.6229277887046923,0.7132701421800948,0.19776609724047306
13,0.1,50,35,0.1,0.6973869064343917,0.7037914691943128,0.2377902321857486
14,0.1,50,35,0.15000000000000002,0.7667884237145266,0.6421800947867299,0.28526315789473683
15,0.1,50,35,0.2,0.8083731385220567,0.5947867298578199,0.3293963254593176
16,0.1,50,35,0.25,0.8182073616184321,0.5734597156398105,0.34132581100141046
17,0.1,50,35,0.30000000000000004,0.8544534981736442,0.533175355450237,0.41208791208791207
18,0.1,50,35,0.35000000000000003,0.8595110986232087,0.4881516587677725,0.4204081632653061
19,0.1,50,35,0.4,0.8685023883113234,0.4928909952606635,0.45021645021645024
20,0.1,50,35,0.45,0.8746838999719022,0.48104265402843605,0.4720930232558139
21,0.1,50,35,0.5,0.8828322562517561,0.4549763033175355,0.5065963060686016
22,0.1,50,60,0.0,0.1185726327620118,1.0,0.1185726327620118
23,0.1,50,60,0.05,0.6229277887046923,0.7132701421800948,0.19776609724047306
24,0.1,50,60,0.1,0.6973869064343917,0.7037914691943128,0.2377902321857486
25,0.1,50,60,0.15000000000000002,0.7667884237145266,0.6421800947867299,0.28526315789473683
26,0.1,50,60,0.2,0.8083731385220567,0.5947867298578199,0.3293963254593176
27,0.1,50,60,0.25,0.8182073616184321,0.5734597156398105,0.34132581100141046
28,0.1,50,60,0.30000000000000004,0.8544534981736442,0.533175355450237,0.41208791208791207
29,0.1,50,60,0.35000000000000003,0.8595110986232087,0.4881516587677725,0.4204081632653061
30,0.1,50,60,0.4,0.8685023883113234,0.4928909952606635,0.45021645021645024
31,0.1,50,60,0.45,0.8746838999719022,0.48104265402843605,0.4720930232558139
32,0.1,50,60,0.5,0.8828322562517561,0.4549763033175355,0.5065963060686016
33,0.1,50,85,0.0,0.1185726327620118,1.0,0.1185726327620118
34,0.1,50,85,0.05,0.6229277887046923,0.7132701421800948,0.19776609724047306
35,0.1,50,85,0.1,0.6973869064343917,0.7037914691943128,0.2377902321857486
36,0.1,50,85,0.15000000000000002,0.7667884237145266,0.6421800947867299,0.28526315789473683
37,0.1,50,85,0.2,0.8083731385220567,0.5947867298578199,0.3293963254593176
38,0.1,50,85,0.25,0.8182073616184321,0.5734597156398105,0.34132581100141046
39,0.1,50,85,0.30000000000000004,0.8544534981736442,0.533175355450237,0.41208791208791207
40,0.1,50,85,0.35000000000000003,0.8595110986232087,0.4881516587677725,0.4204081632653061
